,corn,wheat
532,1,3
533,1,2
534,1,1
535,1,2
536,2,2
537,1,2
538,1,1
539,3,3
540,0,0
541,1,1
542,1,2
543,2,2
544,1,1
545,1,3
546,1,1
547,1,1
548,1,1
549,1,1
550,1,1
551,1,2
552,1,2
553,1,2
554,2,2
555,2,2
556,1,2
557,1,2
558,2,2
559,1,1
560,1,1
561,2,2
562,2,2
563,1,2
564,1,1
565,1,1
566,2,4
567,1,2
568,1,1
569,2,3
570,1,2
571,1,1
572,1,2
573,1,1
574,2,2
575,1,1
576,1,2
577,1,1
578,2,2
579,1,1
580,2,2
581,0,0
582,2,3
583,1,2
584,0,0
585,1,1
586,3,3
587,2,2
588,2,2
589,2,3
590,2,2
591,1,2
592,1,2
593,1,1
594,2,2
595,1,2
596,1,2
597,1,1
598,1,1
599,1,1
600,1,1
601,1,2
602,2,2
603,1,1
604,2,2
605,2,2
606,2,2
607,2,2
608,1,1
609,1,1
610,1,2
611,2,2
612,1,1
613,1,1
614,1,1
615,2,3
616,1,3
617,2,2
618,1,1
619,2,2
620,1,2
621,2,2
622,1,1
623,1,1
624,1,1
625,2,3
626,3,3
627,1,1
628,1,1
629,1,2
630,2,2
631,1,1
632,1,1
633,2,2
634,1,1
635,1,1
636,1,1
637,2,2
638,1,1
639,1,1
640,1,2
641,2,3
642,1,1
643,2,2
644,1,2
645,1,2
646,1,1
647,2,3
648,2,2
649,2,2
650,1,3
651,1,3
652,2,3
653,1,1
654,1,1
655,2,3
656,1,2
657,1,2
658,1,3
659,2,2
660,2,3
661,1,1
662,1,1
663,1,1
664,2,3
665,1,1
666,3,4
667,1,2
668,0,0
669,1,1
670,2,2
671,2,2
672,1,2
673,1,1
674,1,1
675,1,1
676,1,1
677,1,2
678,1,2
679,2,2
680,1,2
681,2,3
682,1,2
683,3,3
684,0,1
685,2,2
686,1,2
687,1,1
688,1,2
689,2,2
690,1,1
691,1,2
692,1,1
693,1,2
694,1,2
695,2,3
696,1,2
697,2,2
698,3,3
699,2,2
700,1,1
701,2,4
702,1,2
703,1,2
704,1,1
705,2,4
706,1,2
707,1,2
708,2,2
709,2,2
710,1,3
711,1,3
712,2,2
713,1,1
714,1,1
715,2,3
716,0,0
717,2,2
718,1,2
719,1,1
720,1,2
721,2,3
722,1,1
723,2,3
724,2,3
725,1,1
726,3,3
727,2,3
728,1,1
729,1,1
730,1,1
731,1,1
732,2,2
733,1,2
734,2,2
735,1,2
736,2,2
737,1,2
738,1,2
739,2,2
740,1,1
741,0,0
742,2,2
743,1,1
744,1,1
745,1,2
746,1,2
747,1,2
748,2,3
749,0,0
750,1,1
751,2,2
752,1,2
753,2,3
754,1,1
755,2,2
756,1,1
757,1,2
758,1,2
759,1,1
760,1,2
761,1,1
762,1,2
763,2,2
764,2,2
765,1,1
766,2,2
767,1,1
768,2,2
769,2,2
770,1,2
771,2,2
772,3,4
773,1,1
774,1,1
775,1,3
776,1,2
777,1,2
778,1,2
779,2,2
780,1,2
781,1,2
782,1,1
783,1,2
784,2,2
785,1,1
786,1,1
787,2,3
788,1,1
789,2,2
790,1,1
791,1,2
792,0,0
793,1,1
794,1,1
795,2,2
796,1,2
797,2,3
798,2,3
799,1,1
800,2,2
801,2,3
802,1,1
803,2,2
804,1,1
805,0,1
806,1,1
807,1,1
808,1,2
809,1,2
810,1,1
811,1,1
812,1,2
813,1,2
814,2,2
815,1,2
816,1,2
817,1,1
818,1,3
819,2,2
820,1,1
821,2,2
822,1,1
823,1,1
824,3,3
825,2,2
826,1,2
827,2,3
828,1,2
829,2,3
830,2,3
831,1,1
832,2,3
833,1,2
834,2,2
835,3,4
836,2,2
837,1,1
838,1,2
839,1,2
840,1,1
841,1,1
842,2,2
843,1,1
844,2,2
845,1,1
846,2,2
847,2,3
848,2,2
849,0,1
850,1,1
851,1,3
852,1,1
853,2,3
854,1,1
855,1,1
856,1,2
857,2,2
858,2,2
859,2,3
860,2,3
861,1,2
862,1,2
863,2,2
864,1,2
865,1,1
866,2,3
867,1,1
868,2,2
869,1,1
870,1,2
871,2,2
872,2,2
873,1,1
874,1,1
875,1,1
876,2,2
877,2,2
878,1,2
879,3,3
880,2,2
881,1,2
882,1,1
883,2,3
884,2,2
885,1,1
886,1,1
887,1,1
888,2,2
889,1,1
890,2,2
891,1,1
892,1,1
893,1,1
894,0,1
895,1,1
896,1,2
897,1,2
898,2,3
899,2,2
900,2,3
901,1,2
902,1,1
903,1,1
904,1,2
905,1,1
906,0,0
907,2,2
908,1,1
909,1,1
910,1,1
911,2,2
912,1,2
913,1,1
914,1,1
915,1,1
916,1,1
917,2,2
918,1,3
919,2,2
920,1,1
921,1,2
922,0,0
923,1,1
924,2,3
925,1,2
926,2,3
927,1,1
928,1,2
929,1,1
930,1,2
931,2,2
932,2,2
933,1,1
934,2,3
935,3,4
936,2,2
937,2,2
938,1,1
939,1,1
940,2,2
941,1,2
942,1,1
943,2,3
944,2,2
945,2,2
946,0,0
947,1,1
948,1,1
949,1,1
950,2,3
951,1,1
952,2,3
953,0,0
954,2,2
955,2,2
956,1,2
957,1,1
958,1,2
959,1,2
960,2,2
961,2,3
962,2,2
963,1,2
964,1,1
965,1,2
966,1,2
967,1,1
968,2,2
969,1,1
970,1,2
971,2,3
972,1,1
973,2,3
974,1,1
975,2,2
976,1,3
977,2,2
978,2,2
979,2,2
980,2,3
981,1,2
982,0,1
983,1,1
984,1,1
985,1,3
986,1,1
987,1,2
988,1,1
989,1,1
990,1,2
991,1,1
992,2,2
993,1,1
994,1,1
995,0,0
996,3,4
997,2,3
998,3,3
999,1,2
1000,0,1
1001,2,2
1002,2,2
1003,2,3
1004,3,3
1005,2,2
1006,1,1
1007,2,2
1008,1,2
1009,0,1
1010,1,2
1011,1,1
1012,2,3
1013,3,3
1014,1,2
1015,1,1
1016,2,2
1017,3,3
1018,1,1
1019,1,1
1020,0,1
1021,1,2
1022,2,2
1023,2,3
1024,2,2
1025,2,3
1026,1,2
1027,1,1
1028,1,1
1029,1,1
1030,2,3
1031,3,4
1032,2,2
1033,2,2
1034,1,1
1035,3,4
1036,2,3
1037,3,3
1038,3,3
1039,1,2
1040,2,2
1041,2,2
1042,1,1
1043,0,1
1044,1,2
1045,0,1
1046,1,2
1047,3,4
1048,2,3
1049,2,2
1050,2,3
1051,2,2
1052,2,2
1053,2,3
1054,2,3
1055,0,1
1056,1,2
1057,2,2
1058,1,2
1059,1,2
1060,3,3
1061,3,3
1062,1,2
1063,3,3
1064,2,3
1065,1,2
1066,0,1
1067,2,2
1068,2,2
1069,3,4
1070,1,1
1071,1,2
1072,2,3
1073,2,2
1074,1,2
1075,1,2
1076,2,2
1077,2,2
1078,1,2
1079,2,3
1080,1,1
1081,1,2
1082,1,1
1083,3,3
1084,1,1
1085,1,2
1086,1,2
1087,3,3
1088,2,2
1089,1,1
1090,2,2
1091,3,3
1092,2,3
1093,1,2
1094,1,1
1095,1,2
1096,2,3
1097,1,2
1098,1,2
1099,0,1
1100,3,3
1101,2,2
1102,1,2
1103,2,2
1104,0,1
1105,3,3
1106,1,2
1107,2,2
1108,2,2
1109,1,1
1110,2,3
1111,1,1
1112,2,3
1113,3,3
1114,1,1
1115,2,2
1116,2,2
1117,2,2
1118,3,3
1119,1,1
1120,2,2
1121,2,2
1122,0,1
1123,2,2
1124,1,2
1125,2,2
1126,0,1
1127,3,3
1128,1,1
1129,1,1
1130,1,1
1131,2,3
1132,2,2
1133,0,1
1134,0,1
1135,2,2
1136,3,3
1137,1,1
1138,1,2
1139,2,2
1140,1,1
1141,1,1
1142,2,2
1143,2,2
1144,1,1
